review,sentiment,label
i really liked this summerslam due to the look of the arena the curtains and just the look overall was interesting to me for some reason anyways this could have been one of the best summerslams ever if the wwf didnt have lex luger in the main event against yokozuna now for its time it was ok to have a huge fat man vs a strong man but im glad times have changed it was a terrible main event just like every match luger is in is terrible other matches on the card were razor ramon vs ted dibiase steiner brothers vs heavenly bodies shawn michaels vs curt hening this was the event where shawn named his big monster of a body guard diesel irs vs 123 kid bret hart first takes on doink then takes on jerry lawler and stuff with the harts and lawler was always very interesting then ludvig borga destroyed marty jannetty undertaker took on giant gonzalez in another terrible match the smoking gunns and tatanka took on bam bam bigelow and the headshrinkers and yokozuna defended the world title against lex luger this match was boring and it has a terrible ending however it deserves 810,positive,1
not many television shows appeal to quite as many different kinds of fans like farscape doesi know youngsters and 3040 years oldfans both male and female in as many different countries as you can think of that just adore this tv miniseries it has elements that can be found in almost every other show on tv character driven drama that could be from an australian soap opera yet in the same episode it has science fact  fiction that would give even the hardiest trekkie a run for his money in the brainbender stakes wormhole theory time travel in true equational formmagnificent it embraces cultures from all over the map as the possibilities are endless having multiple stars and therefore thousands of planets to choose from  with such a broad scope it would be expected that nothing would be able to keep up the illusion for long but here is where farscape really comes into its own elementit succeeds where all others have failed especially the likes of star trek a universe with practically zero kaos element they ran out of ideas pretty quickly  kept rehashing them over the course of 4 seasons they manage to keep the audiences attention using good continuity and constant character evolution with multiple threads to every episode with unique personal touches to camera that are specific to certain character groups within the whole this structure allows for an extremely large area of subject matter as loyalties are forged and broken in many ways on many many issues i happened to see the pilot premiere in passing and just had to keep tuning in after that to see if crichton would ever get the girl after seeing them all on television i was delighted to see them available on dvd  i have to admit that it was the only thing that kept me sane whilst i had to do a 12 hour night shift and developed chronic insomniafarscape was the only thing to get me through those extremely long nights  do yourself a favour watch the pilot and see what i mean  farscape comet,positive,1
the film quickly gets to a major chase scene with ever increasing destruction the first really bad thing is the guy hijacking steven seagal would have been beaten to pulp by seagals driving but that probably would have ended the whole premise for the movie  it seems like they decided to make all kinds of changes in the movie plot so just plan to enjoy the action and do not expect a coherent plot turn any sense of logic you may have it will reduce your chance of getting a headache  i does give me some hope that steven seagal is trying to move back towards the type of characters he portrayed in his more popular movies,negative,0
jane austen would definitely approve of this one  gwyneth paltrow does an awesome job capturing the attitude of emma she is funny without being excessively silly yet elegant she puts on a very convincing british accent not being british myself maybe im not the best judge but she fooled meshe was also excellent in sliding doorsi sometimes forget shes american    also brilliant are jeremy northam and sophie thompson and phyllida law emma thompsons sister and mother as the bates women they nearly steal the showand ms law doesnt even have any lines  highly recommended,positive,1
expectations were somewhat high for me when i went to see this movie after all i thought steve carell could do no wrong coming off of great movies like anchorman the 40 yearold virgin and little miss sunshine boy was i wrong  ill start with what is right with this movie at certain points steve carell is allowed to be steve carell there are a handful of moments in the film that made me laugh and its due almost entirely to him being given the wiggleroom to do his thing hes an undoubtedly talented individual and its a shame that he signed on to what turned out to be in my opinion a total trainwreck  with that out of the way ill discuss what went horrifyingly wrong  the film begins with dan burns a widower with three girls who is being considered for a nationally syndicated advice column he prepares his girls for a family reunion where his extended relatives gather for some time with each other  the family is high atop the list of things that make this an awful movie no family behaves like this its almost as if theyve been transported from pleasantville or leave it to beaver they are a caricature of what we think a family is when were 7 it reaches the point where they become obnoxious and simply frustrating touch football crossword puzzle competitions family bowling and talent shows are not how actual people behave its almost sickening  another big flaw is the woman carell is supposed to be falling for observing her in her first scene with steve carell is like watching a stroke victim trying to be rehabilitated what i imagine is supposed to be unique and original in this woman comes off as mildly retarded  it makes me think that this movie is taking place on another planet i left the theater wondering what i just saw after thinking further i dont think it was much,negative,0
ive watched this movie on a fairly regular basis for most of my life and it never gets old for all the snide remarks and insults mostly from david spade tommy boy has a giant heart and thats what keeps this movie funny after all these years  tommy callahan chris farley is the son of big tom callahan brian dennehy master car parts salesman and has ridden on that all his life but after his died dies on his wedding day tommy learns that the company is in debt and about to be bought by ray zalinsky dan akroyd the owner of a huge car parts company so in order to save the company tommy has to go on the road to sell the companys new brake pads along for the ride though not by choice is richard hayden david spade a former classmate of tommys who was big toms righthand man  the movie rides on the chemistry between the two snl stars and reallife best friends chris farley and david spade the duo has enough comic energy going between them to power the world its the big dumb guy versus the smart little guy it works and some of their scenes are unforgettably funny farley and spade are actually decent dramatic actors as well although the film is primarily a comedy it has its fair share of drama but spade and especially farley are just as good there as when theyre making the audience laugh  forgive me but i have to talk about chris farley a little more i read his biography the chris farley show a biography in three acts for anyone who cares and understanding who chris was in real life made this movie more special to me chris farley was a genuinely good person who struggled and ultimately failed to conquer his addictions although this was the first movie he had a major role in it is his best film it really showed who he was and just how much talent he had knowing chriss story adds another layer to this movie although it doesnt make it any less funny  farley and spade are matched with a good on screen cast rob lowe is suitably slimy as tommys new brother and bo derek is solid as his stepmother brian dennehy is great as big tom dennehy makes it easy to believe that theyre father in son big tom is just as crazy as his son although hes smarter and more mature dan akroyd gives one of his best performances as zalinsky giving tommy the hard truth behind advertising julie warner is also good as tommys love interest michelle  for me peter segal is one of the great comedy directors he keeps the pace quick and energetic but most importantly he knows how to make comedy funny he doesnt belabor the jokes and he understands that funny actors know what theyre doing and he allows them to do it but segal goes a step further he gives tommy boy a friendly almost nostalgic tone that both tugs the heartstrings genuinely and tickles the funnybone  critics didnt like tommy boy shame on them a movie doesnt have to be super sophisticated or subversively intellectual to be funny god forbid farley and spade were forced to do muted comedy a la the office this is a great movie and one of my alltime favorites,positive,1
for once a story of hope highlighted over the tragic reality our youth face favela rising draws one into a scary unsafe and unfair world and shows through beautiful color and moving music how one man and his dedicated friends choose not to accept that world and change it through action and art an entertaining interesting emotional aesthetically beautiful film i showed this film to numerous high school students as well who all live in neighborhoods with poverty and and gun violence and they were enamored with anderson the protagonist i recommend this film to all ages over 13 due to subtitles and some images of death from all backgrounds,positive,1
okay i didnt get the purgatory thing the first time i watched this episode it seemed like something significant was going on that i couldnt put my finger on this time those costa mesa fires on tv really caught my attention and it helped that i was just writing an essay on inferno but let me see what hasnt been discussed yet  a twop review mentioned that tony had 7 flights of stairs to go down because of the broken elevator yeah 7 is a significant number for lots of reasons especially religious but heres one more for ya on a hunch i consulted wikipedia and guess what dante divided into 7 levels purgatorio excluding antepurgatory and paradise the stuff at the bottom of the stairs and what tony cant get to   on to the allegedly random monkslap scene as soon as the monks appeared it fit perfectly in place with tony trying to get out of purgatory you can tell he got worried when that christian commercial death disease and sin came on and hes getting more and more desperate because christian heaven is looking kinda iffy for him by the time he meets the monks hes thinking hey maybe these guys can help me which sounds like contemplating other religions eg buddhism and wondering if some other path could take him to salvation not that tony is necessarily literally thinking about becoming a buddhist but it appears finnerty tried that and messed up that slap in the face basically tells tony theres no quick fix as in no you cant suddenly embrace buddhism and get out of here   tony was initially not too concerned about getting to heaven but at the conference entrance he realizes thats not going to be so easy for him at first i saw the name vs drivers license problem as tony having led sort of a double life what with the killing people and sleeping around that he kept secret from most people he feels free to have an affair with quasimelfi because hes kevin finnerty he figures out that he can fool some people with kfs cards like hotel receptionists but it wont get him out of purgatory those helicopters the helicopters of heaven are keeping track of him and everything he does  after reading all the theories on infinnerty though it seems like kfs identity is a reminder of the infinite different paths tony couldve taken in his life possibly along with the car joke involving infinitis that made no sense to me otherwise aaaand at that point my brain fizzles out,positive,1
i was very disappointed with this series it had lots of cool graphics and thats about it the level of detail it went into was minimal and i always got the feeling the audience was being patronized  there was a lot of what seemed to me as this is extremely cool but were not going to explain it in further detail because you wont get it anyway lets just show you some pretty pictures to entertain you the host would drop interestingsounding words such as sparticles and supersymmetry without any attempt at explaining what it was we had to look it up on wikipedia  furthermore i know quite a bit about superstrings for a layman and i found their explanations were convoluted and could have been so much better they could have chosen much better examples to explain concepts but instead the examples they used were confusing and further obscured the subject  additionally i got so sick of the repetitiveness they could easily have condensed the series into one episode if they had cut out all the repetition they must have shown the clips of the quantum café about 8 times the host kept saying the same things over and over and over again i cant remember how many times he said the universe is made out of tiny little vibrating strings its like they were trying to brainwash us into just accepting superstrings are the best thing since sliced bread  finally the show ended off with an unpleasant sense of a competition between fermilab and cern clearly biased towards fermilab this is supposed to be an educational program about quantum physics not about whether the us is better than europe or vice versa i also felt that was part of the patronizing  audiences need to see some conflict to remain interested please give me a little more credit than that  overall 2 thumbs down ,negative,0
the first 30 minutes of tinseltown had my finger teetering on the remote poised to flick around to watch something else the premise of two writers down on their luck living in a selfstoragespace bin was mildly amusing but painfully bland  the introduction of the character played by joe pantoliano  the big deal movie guy that lives in the park and sleeps in a lavatory offered hope and i decided to give it a few more minutes and then a few more until kristy swansons introduction as a budding film director  borderline nymphomaniac added a bit of spice her solid acting performance raised her presence above and beyond just a very welcome eyecandy inclusion  ultimately the obvious lowbudget impacts on the film with poorly shot scenes stuttured pace and slapstick handling of certain moments some of my favourite movies of all time have been low budget whithnail  i being one that also deals with 2 guys with a dream but down on their luck  however for my money the actors save tinseltown from the terrible movie archives and just about nudges it into the could have been a cult movie archives i laughed out loud at some of the scenes involving joe pantolianos character in particular the penultimate scenes in the terribly clichéd but still funny richbutscrewedup characters house where the story unravels towards its final moments  i can see how tinseltown was a great stage play and while the filmmakers did their best to translate this to celluloid it simply didnt work and while i laughed out loud at some of scenes and one liners i think the first 30 minutes dulled my senses and expectations to such a degree i would have laughed at anything  unless youre stuck for a novelty coffee coaster dont pick this up if you see it in a bargain bucket,negative,0
